FileName,Label
45945143,6
91233284,25
3082537,17
13822720,7
17579915,25
29401262,12
32481567,25
75265681,10
77703572,23
59319597,24
86425228,21
28008132,15
37060712,38
37951364,17
68825194,25
62806895,38
93157202,25
55128978,16
11850897,38
83320221,8
80019122,25
34858179,25
17600965,34
31312877,32
70003369,16
95260241,29
40001941,15
38279334,15
36285983,31
46995933,17
27050006,16
84928412,36
56371361,15
9730909,13
51201758,25
88388633,16
57164307,2
51766549,38
50698138,5
30506905,26
93010081,16
11777641,5
6156650,25
13680322,16
85666107,32
81175272,26
7154596,9
1658317,25
99750610,29
91921382,11
4127801,25
26845989,23
54499465,17
62681224,6
49512985,18
67306447,27
37758298,25
88026092,4
40974469,4
21264375,38
86354718,23
36168726,16
56240016,28
93453613,38
40008276,17
40807177,5
98981912,25
93963547,29
38499870,9
34252630,20
61230856,25
68830215,38
88913527,30
6360227,5
10789679,34
6653522,20
70954384,35
81231350,29
53690685,21
61440018,21
53165942,5
53896130,10
71984545,27
71675999,38
9344896,34
10413875,16
22798991,33
18672411,9
46711942,22
4938627,34
97019831,38
36080441,17
65268266,26
23425624,16
96251158,25
37999367,17
19709310,16
99475603,29
62763123,28
52056802,10
73317724,29
44985973,38
2250501,34
23959281,35
79343055,1
46125337,23
21324749,7
71841337,34
36857713,25
94680134,10
33920616,16
13103542,9
60726029,25
40139908,1
24481547,28
95770592,16
70533404,25
96512823,29
59574581,25
32695361,5
47042970,13
16065222,10
74721270,4
58949244,34
18924290,16
33824149,4
35199721,16
14599891,28
40704078,25
72877930,33
81033434,37
96024684,32
24748378,2
99635319,34
70843555,25
32554546,9
1380066,5
27987680,9
20107104,6
88839962,16
42424929,4
46088143,34
62147916,2
72753730,20
20490018,12
2978740,17
48300437,13
47306150,13
27170943,16
31005983,38
48911109,23
11740468,34
32626107,29
63300269,13
2220008,16
77169328,16
38914455,34
7602777,16
78986768,20
24841048,28
89135603,16
46404844,38
93634970,34
74936698,4
82090071,36
73286504,20
22293094,16
63853926,16
80671902,16
69331308,5
13436041,6
44127681,31
49000145,31
33306591,21
42495249,11
59087160,20
7862445,17
47881833,9
35157074,31
35567272,25
32148009,38
61423560,10
48810667,28
49243578,16
51227598,36
62358665,13
39596206,16
35575981,15
46980296,35
29567705,16
22621722,13
87307664,20
43592169,16
41017096,4
69409173,5
54423810,23
24041951,16
33127605,15
70750787,13
56267098,17
68842788,38
19666819,25
88599542,32
78220370,21
26128525,28
37278451,25
78767396,35
91562052,12
68584481,30
32318409,38
45695965,9
73835870,36
50582598,32
88774223,10
20289187,16
97760911,19
48355241,7
199468,37
85672316,6
70954961,36
24751924,5
56540513,34
672727,12
90890571,3
79936846,5
8209065,34
35819475,34
58861656,4
67204556,38
38094938,38
67364952,16
89632486,16
68211968,34
90101107,3
57626773,16
95979403,30
33065930,25
10846643,38
30984547,38
89730629,29
11456255,16
83479131,33
73638660,38
8544723,15
24936095,16
74028650,25
66923510,32
55823186,9
34347350,29
24643150,36
48333917,10
61467197,13
84362795,12
13944239,31
14344755,25
32181614,16
45120755,12
18536947,25
60458171,15
32856885,13
8638459,25
27231951,20
11967783,10
99175701,38
82888612,7
81454546,34
62849031,33
51233931,35
52873121,25
79908125,37
51583026,15
79191609,18
22084504,38
62070192,38
54447544,21
91227122,38
75821185,30
44635991,20
84957157,31
638902,34
28696515,16
19345183,38
85016107,35
53872141,16
61227364,25
73921709,25
55960091,5
25597947,13
41798171,25
21995143,4
85581458,6
13304060,35
88996641,17
99130851,38
92369010,29
44963372,1
29836557,31
9510530,4
5652772,1
56410754,13
2128051,36
92965052,38
28663647,16
9941521,2
71895657,5
13504777,31
25942761,28
89606064,15
18705291,31
29366791,21
30625362,23
99676709,16
70265371,9
14245870,8
41728333,32
48842621,36
86319687,38
51147141,5
45051084,33
91624538,16
96699429,33
77325803,5
34738178,17
91397592,25
79941373,11
33906715,38
74752411,16
4974043,26
90872981,29
80950115,13
95939292,18
87263731,29
94411802,6
77583140,32
25919232,34
44125896,20
56833908,38
68141573,1
75424477,38
51821608,19
54245983,17
20065587,23
31864268,13
75184519,7
13219755,20
54092877,25
73463549,24
76480954,16
82919303,25
83704910,19
5665184,28
4163845,25
63706088,25
92113958,16
72521262,38
81190183,28
65816016,31
81674032,17
33233882,1
29670386,33
23784336,12
83531281,16
23616744,20
39212200,19
81668714,5
49224966,37
9766500,13
97989532,38
38320129,15
17651377,31
35613713,1
32154868,35
61207678,38
78605218,16
16750377,31
40487344,12
14388041,16
15247995,32
82030124,31
2183854,35
87351951,5
60682131,6
86670792,7
36724193,32
87516619,7
56649075,34
73863723,38
39271276,33
14589277,28
49074539,31
